code_insee,population,superficie,densite
02173,11438,13.28,861.2951807228916
02174,835,11.55,72.2943722943723
02175,164,5.28,31.06060606060606
02176,207,3.62,57.18232044198895
02177,141,3.71,38.00539083557952
02178,110,10.95,10.045662100456621
02179,381,13.69,27.830533235938642
02180,726,17.22,42.160278745644604
02181,85,4.73,17.970401691331922
02182,113,6.06,18.64686468646865
02183,185,8.85,20.90395480225989
02184,346,16.85,20.534124629080118
02185,385,16.15,23.8390092879257
02186,1336,22.43,59.56308515381186
02187,1146,2.82,406.3829787234043
02188,145,10.47,13.849092645654249
02189,345,13.56,25.442477876106192
02190,523,5.54,94.4043321299639
02191,511,3.54,144.3502824858757
02192,370,20.03,18.472291562656014
02193,65,8.22,7.907542579075425
02194,179,9.3,19.247311827956988
02195,900,8.95,100.5586592178771
02196,306,4.21,72.68408551068883
02197,530,14.31,37.03703703703704
02198,228,3.4,67.05882352941177
02199,597,8.24,72.4514563106796
02200,104,9.3,11.18279569892473
02201,449,12.52,35.86261980830671
02203,1268,17.24,73.54988399071927
02204,64,7.31,8.755129958960328
02205,219,6.53,33.5375191424196
02206,75,3.29,22.796352583586625
02207,217,3.33,65.16516516516516
02208,262,12.51,20.943245403677057
02209,691,4.56,151.53508771929825
02210,361,3.73,96.7828418230563
02211,310,5.83,53.17324185248714
02212,702,5.58,125.80645161290323
02213,342,5.46,62.637362637362635
02214,61,3.42,17.83625730994152
02215,842,15.23,55.28562048588312
02216,290,7.25,40.0
02217,992,11.46,86.56195462478185
02218,627,6.03,103.98009950248756
02219,196,6.11,32.0785597381342
02220,442,28.75,15.373913043478261
02221,154,7.82,19.69309462915601
02222,34,3.16,10.759493670886075
02223,304,14.07,21.606254442075336
02224,340,8.81,38.592508513053346
02225,83,2.72,30.51470588235294
02226,1877,6.76,277.66272189349115
02227,120,9.86,12.170385395537526
02228,346,5.98,57.859531772575245
02229,74,4.22,17.535545023696685
02230,186,7.5,24.8
02231,949,13.33,71.19279819954988
02232,365,24.55,14.867617107942973
02233,145,8.12,17.857142857142858
02234,84,8.62,9.74477958236659
02235,114,5.91,19.289340101522843
02236,329,11.83,27.810650887573964
02237,1499,17.9,83.74301675977654
02238,1798,27.7,64.90974729241877
02239,1250,7.06,177.05382436260624
02240,198,9.37,21.13127001067236
02241,91,10.45,8.708133971291867
02242,640,4.33,147.80600461893764
02243,2958,10.38,284.97109826589593
02244,63,3.52,17.897727272727273
02245,1797,5.02,357.9681274900399
